Age,Gender,City,Payment_Method,Purchase_Amount,Purchased
56,0,2,2,3450,1
46,1,0,1,4631,1
32,1,0,2,4615,1
25,1,1,2,2868,1
38,0,2,0,4347,1
56,1,1,0,4995,1
36,0,1,0,3201,1
40,0,2,0,1471,0
28,1,0,0,1666,0
28,1,0,1,3274,1
41,0,2,2,2482,1
53,0,0,2,1353,0
57,1,2,2,4646,1
41,1,2,2,4236,1
20,1,1,0,4269,1
39,0,2,2,1074,0
19,0,1,1,3761,1
41,0,0,1,1648,0
47,0,0,2,2215,1
55,0,0,2,4354,1
19,0,0,1,2991,1
38,1,1,1,3160,1
50,0,0,0,3624,1
29,0,2,1,3551,1
39,0,2,0,504,0
42,1,2,0,1376,0
44,0,1,0,1491,0
59,0,0,0,4642,1
45,1,0,0,4864,1
33,0,0,2,4965,1
32,0,1,1,1135,0
20,0,2,0,2193,1
54,0,2,1,2182,1
24,0,0,1,619,1
38,1,2,0,1330,0
26,1,2,2,4175,1
56,1,1,0,1869,0
35,0,1,2,1240,0
21,0,1,1,616,1
42,0,1,2,3338,1
31,1,0,2,1650,0
26,0,1,2,2431,1
43,0,2,1,1512,0
19,1,0,1,2164,1
37,0,2,2,1581,0
45,1,2,2,1012,0
24,1,2,0,3349,1
25,1,1,2,1059,0
52,0,1,0,4172,1
31,0,0,2,3843,1
34,0,0,0,4570,1
53,0,1,1,1970,0
57,0,2,2,1080,0
21,0,0,2,2794,1
19,0,1,2,3647,1
23,1,1,2,4749,1
59,0,1,0,2179,1
21,1,2,2,4006,1
46,0,1,1,3244,1
35,0,1,1,3856,1
43,0,1,2,4545,1
51,1,1,1,1743,0
27,1,0,2,3618,1
53,1,0,2,2641,1
31,1,1,1,3559,1
48,0,2,2,3459,1
32,1,0,1,2765,1
25,0,1,0,2979,1
31,0,0,2,2135,1
40,1,0,0,2257,1
57,1,2,1,4952,1
38,1,1,0,2570,1
33,1,1,0,3349,1
35,1,2,1,3751,1
41,1,2,0,4230,1
43,1,1,0,2989,1
42,1,1,1,2131,1
58,0,2,0,3316,1
46,1,0,1,1515,0
32,1,0,0,1848,0
18,0,2,1,3587,1
42,1,0,1,3339,1
24,0,2,0,835,1
26,0,0,0,1395,0
41,1,0,0,4046,1
18,0,1,2,1351,1
25,0,1,2,2187,1
41,0,0,2,2431,1
28,0,0,1,4246,1
34,1,1,0,2927,1
25,0,1,1,2068,1
52,1,1,2,4500,1
52,0,2,0,3238,1
50,0,0,1,3998,1
22,0,1,0,4413,1
59,0,0,1,1566,0
56,1,2,0,4880,1
58,1,2,2,2944,1
45,0,1,2,4607,1
24,0,2,0,3873,1
