Age,Purchase_Amount,Purchased,Gender_Female,Gender_Male,City_Bangalore,City_Delhi,City_Mumbai,Payment_Method_Card,Payment_Method_Cash,Payment_Method_UPI
56,3450,1,1,0,0,0,1,0,0,1
46,4631,1,0,1,1,0,0,0,1,0
32,4615,1,0,1,1,0,0,0,0,1
25,2868,1,0,1,0,1,0,0,0,1
38,4347,1,1,0,0,0,1,1,0,0
56,4995,1,0,1,0,1,0,1,0,0
36,3201,1,1,0,0,1,0,1,0,0
40,1471,0,1,0,0,0,1,1,0,0
28,1666,0,0,1,1,0,0,1,0,0
28,3274,1,0,1,1,0,0,0,1,0
41,2482,1,1,0,0,0,1,0,0,1
53,1353,0,1,0,1,0,0,0,0,1
57,4646,1,0,1,0,0,1,0,0,1
41,4236,1,0,1,0,0,1,0,0,1
20,4269,1,0,1,0,1,0,1,0,0
39,1074,0,1,0,0,0,1,0,0,1
19,3761,1,1,0,0,1,0,0,1,0
41,1648,0,1,0,1,0,0,0,1,0
47,2215,1,1,0,1,0,0,0,0,1
55,4354,1,1,0,1,0,0,0,0,1
19,2991,1,1,0,1,0,0,0,1,0
38,3160,1,0,1,0,1,0,0,1,0
50,3624,1,1,0,1,0,0,1,0,0
29,3551,1,1,0,0,0,1,0,1,0
39,504,0,1,0,0,0,1,1,0,0
42,1376,0,0,1,0,0,1,1,0,0
44,1491,0,1,0,0,1,0,1,0,0
59,4642,1,1,0,1,0,0,1,0,0
45,4864,1,0,1,1,0,0,1,0,0
33,4965,1,1,0,1,0,0,0,0,1
32,1135,0,1,0,0,1,0,0,1,0
20,2193,1,1,0,0,0,1,1,0,0
54,2182,1,1,0,0,0,1,0,1,0
24,619,1,1,0,1,0,0,0,1,0
38,1330,0,0,1,0,0,1,1,0,0
26,4175,1,0,1,0,0,1,0,0,1
56,1869,0,0,1,0,1,0,1,0,0
35,1240,0,1,0,0,1,0,0,0,1
21,616,1,1,0,0,1,0,0,1,0
42,3338,1,1,0,0,1,0,0,0,1
31,1650,0,0,1,1,0,0,0,0,1
26,2431,1,1,0,0,1,0,0,0,1
43,1512,0,1,0,0,0,1,0,1,0
19,2164,1,0,1,1,0,0,0,1,0
37,1581,0,1,0,0,0,1,0,0,1
45,1012,0,0,1,0,0,1,0,0,1
24,3349,1,0,1,0,0,1,1,0,0
25,1059,0,0,1,0,1,0,0,0,1
52,4172,1,1,0,0,1,0,1,0,0
31,3843,1,1,0,1,0,0,0,0,1
34,4570,1,1,0,1,0,0,1,0,0
53,1970,0,1,0,0,1,0,0,1,0
57,1080,0,1,0,0,0,1,0,0,1
21,2794,1,1,0,1,0,0,0,0,1
19,3647,1,1,0,0,1,0,0,0,1
23,4749,1,0,1,0,1,0,0,0,1
59,2179,1,1,0,0,1,0,1,0,0
21,4006,1,0,1,0,0,1,0,0,1
46,3244,1,1,0,0,1,0,0,1,0
35,3856,1,1,0,0,1,0,0,1,0
43,4545,1,1,0,0,1,0,0,0,1
51,1743,0,0,1,0,1,0,0,1,0
27,3618,1,0,1,1,0,0,0,0,1
53,2641,1,0,1,1,0,0,0,0,1
31,3559,1,0,1,0,1,0,0,1,0
48,3459,1,1,0,0,0,1,0,0,1
32,2765,1,0,1,1,0,0,0,1,0
25,2979,1,1,0,0,1,0,1,0,0
31,2135,1,1,0,1,0,0,0,0,1
40,2257,1,0,1,1,0,0,1,0,0
57,4952,1,0,1,0,0,1,0,1,0
38,2570,1,0,1,0,1,0,1,0,0
33,3349,1,0,1,0,1,0,1,0,0
35,3751,1,0,1,0,0,1,0,1,0
41,4230,1,0,1,0,0,1,1,0,0
43,2989,1,0,1,0,1,0,1,0,0
42,2131,1,0,1,0,1,0,0,1,0
58,3316,1,1,0,0,0,1,1,0,0
46,1515,0,0,1,1,0,0,0,1,0
32,1848,0,0,1,1,0,0,1,0,0
18,3587,1,1,0,0,0,1,0,1,0
42,3339,1,0,1,1,0,0,0,1,0
24,835,1,1,0,0,0,1,1,0,0
26,1395,0,1,0,1,0,0,1,0,0
41,4046,1,0,1,1,0,0,1,0,0
18,1351,1,1,0,0,1,0,0,0,1
25,2187,1,1,0,0,1,0,0,0,1
41,2431,1,1,0,1,0,0,0,0,1
28,4246,1,1,0,1,0,0,0,1,0
34,2927,1,0,1,0,1,0,1,0,0
25,2068,1,1,0,0,1,0,0,1,0
52,4500,1,0,1,0,1,0,0,0,1
52,3238,1,1,0,0,0,1,1,0,0
50,3998,1,1,0,1,0,0,0,1,0
22,4413,1,1,0,0,1,0,1,0,0
59,1566,0,1,0,1,0,0,0,1,0
56,4880,1,0,1,0,0,1,1,0,0
58,2944,1,0,1,0,0,1,0,0,1
45,4607,1,1,0,0,1,0,0,0,1
24,3873,1,1,0,0,0,1,1,0,0
